county,population,number food insecure,percent food insecure,beds_0,beds_1,beds_2,beds_3,beds_4,snap individuals,percent of pop with snap,snap households,wic individuals,percent of pop with wic,county total households,households below national average income,percent of households below national average income,"less than 10,000","10,000 to 14,999","15,000 to 19,999","20,000 to 24,999","25,000 to 29,999","30,000 to 34,999","35,000 to 39,999","40,000 to 44,999","45,000 to 49,999"
"Grundy County, TN",13703,2220,16%,457,496,619,866,919,3576,16%,1842,323,2%,4820,2840,59%,619,405,387,274,235,269,195,293,163
"Hamblen County, TN",62544,8420,13%,515,544,720,970,973,9788,13%,4686,1685,3%,24456,13626,56%,1907,1491,1539,1869,1476,1525,1396,1405,1018
"Hamilton County, TN",336463,50180,15%,585,694,847,1099,1344,45530,15%,22637,5194,2%,145213,66910,46%,8645,7492,8238,7274,7410,7758,7303,6729,6061
"Hancock County, TN",6819,1110,16%,457,488,619,893,1087,2315,16%,1225,253,4%,2742,1825,67%,398,219,218,297,236,119,83,161,94
"Hardeman County, TN",27253,5290,19%,457,468,619,845,926,4844,19%,2564,567,2%,8891,5517,62%,831,724,743,534,489,542,547,683,424
"Hardin County, TN",26026,3750,14%,495,528,671,841,996,4970,14%,2597,651,3%,10137,5866,58%,954,622,597,853,782,516,682,490,370
"Hawkins County, TN",56833,7630,13%,515,529,700,924,1015,9611,13%,4662,1232,2%,23135,13330,58%,2039,1420,1613,1772,1564,1282,1368,1242,1030
"Haywood County, TN",18787,3870,21%,445,491,649,895,1019,4433,21%,2391,439,2%,7181,4322,60%,919,385,446,614,508,490,376,282,302
"Henderson County, TN",27769,4370,16%,485,497,658,824,889,5159,16%,2563,533,2%,10711,5887,55%,849,799,598,720,899,713,465,482,362
"Henry County, TN",32330,4700,15%,457,484,619,849,939,5779,15%,2841,616,2%,13394,7927,59%,984,1056,1235,978,885,866,612,770,541
"Hickman County, TN",24690,3430,14%,594,701,803,1006,1410,3927,14%,1843,339,1%,8636,4959,57%,487,673,607,413,679,450,509,664,477
"Houston County, TN",8426,1230,15%,457,541,619,776,859,1343,15%,626,225,3%,2878,1674,58%,353,181,175,189,184,127,116,190,159
"Humphreys County, TN",18538,2450,13%,474,530,643,838,979,2565,13%,1193,398,2%,6763,3748,55%,549,411,294,493,358,296,447,450,450
"Jackson County, TN",11638,1800,15%,457,468,619,803,837,2046,15%,1079,193,2%,4566,2956,65%,429,458,475,324,279,308,219,262,202
"Jefferson County, TN",51407,6420,12%,515,544,720,970,973,7054,12%,3432,834,2%,20154,10231,51%,1007,1027,1466,1280,1059,1256,1158,862,1116
"Johnson County, TN",18244,2780,15%,457,541,619,776,919,3316,15%,1782,389,2%,6794,4483,66%,878,625,505,420,482,393,397,499,284
"Knox County, TN",432226,59550,14%,566,698,855,1114,1405,48324,14%,24316,5691,1%,187319,82477,44%,13252,8367,8930,9898,8667,9099,8556,8408,7300
"Lake County, TN",7832,1690,22%,457,518,619,825,837,1919,22%,1046,177,2%,2243,1373,61%,356,216,157,161,127,100,88,114,54
"Lauderdale County, TN",27815,5880,21%,458,518,621,828,968,6138,21%,3106,536,2%,9675,5822,60%,927,808,622,718,560,606,609,503,469
"Lawrence County, TN",41869,5760,14%,457,508,619,805,861,6278,14%,2995,968,2%,15960,9038,57%,1251,1135,1140,954,921,971,848,1061,757
"Lewis County, TN",12161,1650,14%,463,488,628,826,972,1910,14%,989,293,2%,4715,2915,62%,332,385,353,322,462,325,314,249,173
"Lincoln County, TN",33361,4370,13%,465,488,630,848,852,4942,13%,2283,589,2%,13548,6834,50%,818,765,655,802,735,910,642,923,584
"Loudon County, TN",48556,5070,10%,566,698,855,1114,1405,4591,10%,2208,826,2%,20669,8668,42%,1153,1031,761,814,1060,1080,1100,964,705
"Macon County, TN",22248,2790,13%,500,548,677,882,1062,4682,13%,2174,621,3%,9170,5354,58%,552,812,703,484,831,751,682,321,218
