source link,Category,Date,County,Value,LastReportedDate
,Households,10/1/2017,McMinn,1323,10/25/2018
,Households,10/1/2017,Mcnairy,4173,10/25/2018
,Households,10/1/2017,Meigs,10808,10/25/2018
,Households,10/1/2017,Monroe,243,10/25/2018
,Households,10/1/2017,Montgomery,2137,10/25/2018
,Households,10/1/2017,Moore,4467,10/25/2018
,Households,10/1/2017,Morgan,2776,10/25/2018
,Households,10/1/2017,Obion,3058,10/25/2018
,Households,10/1/2017,Overton,1874,10/25/2018
,Households,10/1/2017,Perry,744,10/25/2018
,Households,10/1/2017,Pickett,415,10/25/2018
,Households,10/1/2017,Polk,1407,10/25/2018
,Households,10/1/2017,Putnam,5617,10/25/2018
,Households,10/1/2017,Rhea,3401,10/25/2018
,Households,10/1/2017,Roane,4170,10/25/2018
,Households,10/1/2017,Robertson,3871,10/25/2018
,Households,10/1/2017,Rutherford,12058,10/25/2018
,Households,10/1/2017,Scott,3369,10/25/2018
,Households,10/1/2017,Sequatchie,1566,10/25/2018
,Households,10/1/2017,Sevier,5527,10/25/2018
,Households,10/1/2017,Shelby,106253,10/25/2018
,Households,10/1/2017,Smith,1414,10/25/2018
,Households,10/1/2017,Stewart,947,10/25/2018
,Households,10/1/2017,Sullivan,12767,10/25/2018
,Households,10/1/2017,Sumner,7320,10/25/2018
,Households,10/1/2017,Tipton,4888,10/25/2018
,Households,10/1/2017,Trousdale,716,10/25/2018
,Households,10/1/2017,Unicoi,1631,10/25/2018
,Households,10/1/2017,Union,2056,10/25/2018
,Households,10/1/2017,VanBuren,482,10/25/2018
,Households,10/1/2017,Warren,3893,10/25/2018
,Households,10/1/2017,Washington,9406,10/25/2018
,Households,10/1/2017,Wayne,1251,10/25/2018
,Households,10/1/2017,Weakley,2959,10/25/2018
,Households,10/1/2017,White,2436,10/25/2018
,Households,10/1/2017,Williamson,2096,10/25/2018
,Households,10/1/2017,Wilson,4731,10/25/2018
,Households,11/1/2017,Anderson,6059,10/25/2018
,Households,11/1/2017,Bedford,4379,10/25/2018
,Households,11/1/2017,Benton,1546,10/25/2018
,Households,11/1/2017,Bledsoe,1475,10/25/2018
,Households,11/1/2017,Blount,7511,10/25/2018
,Households,11/1/2017,Bradley,7935,10/25/2018
,Households,11/1/2017,Campbell,5673,10/25/2018
,Households,11/1/2017,Cannon,1104,10/25/2018
,Households,11/1/2017,Carroll,2737,10/25/2018
,Households,11/1/2017,Carter,5138,10/25/2018
,Households,11/1/2017,Cheatham,1879,10/25/2018
,Households,11/1/2017,Chester,1369,10/25/2018
,Households,11/1/2017,Claiborne,3395,10/25/2018
,Households,11/1/2017,Clay,914,10/25/2018
,Households,11/1/2017,Cocke,5088,10/25/2018
,Households,11/1/2017,Coffee,4559,10/25/2018
,Households,11/1/2017,Crockett,1270,10/25/2018
,Households,11/1/2017,Cumberland,4405,10/25/2018
,Households,11/1/2017,Davidson,37097,10/25/2018
,Households,11/1/2017,Decatur,1176,10/25/2018
,Households,11/1/2017,DeKalb,1875,10/25/2018
,Households,11/1/2017,Dickson,3716,10/25/2018
,Households,11/1/2017,Dyer,4000,10/25/2018
,Households,11/1/2017,Fayette,3198,10/25/2018
,Households,11/1/2017,Fentress,2360,10/25/2018
,Households,11/1/2017,Franklin,2458,10/25/2018
,Households,11/1/2017,Gibson,4507,10/25/2018
,Households,11/1/2017,Giles,2234,10/25/2018
,Households,11/1/2017,Grainger,2072,10/25/2018
,Households,11/1/2017,Greene,5064,10/25/2018
,Households,11/1/2017,Grundy,1965,10/25/2018
,Households,11/1/2017,Hamblen,5407,10/25/2018
,Households,11/1/2017,Hamilton,26015,10/25/2018
,Households,11/1/2017,Hancock,1324,10/25/2018
,Households,11/1/2017,Hardeman,2713,10/25/2018
,Households,11/1/2017,Hardin,2981,10/25/2018
,Households,11/1/2017,Hawkins,5273,10/25/2018
,Households,11/1/2017,Haywood,2484,10/25/2018
,Households,11/1/2017,Henderson,2863,10/25/2018
,Households,11/1/2017,Henry,3201,10/25/2018
,Households,11/1/2017,Hickman,2213,10/25/2018
,Households,11/1/2017,Houston,653,10/25/2018
,Households,11/1/2017,Humphreys,1348,10/25/2018
,Households,11/1/2017,Jackson,1245,10/25/2018
,Households,11/1/2017,Jefferson,3913,10/25/2018
,Households,11/1/2017,Johnson,2065,10/25/2018
,Households,11/1/2017,Knox,25314,10/25/2018
,Households,11/1/2017,Lake,1059,10/25/2018
,Households,11/1/2017,Lauderdale,3123,10/25/2018
,Households,11/1/2017,Lawrence,3334,10/25/2018
,Households,11/1/2017,Lewis,1042,10/25/2018
,Households,11/1/2017,Lincoln,2310,10/25/2018
,Households,11/1/2017,Loudon,2507,10/25/2018
,Households,11/1/2017,Macon,2437,10/25/2018
,Households,11/1/2017,Madison,8714,10/25/2018
,Households,11/1/2017,Marion,2687,10/25/2018
,Households,11/1/2017,Marshall,2026,10/25/2018
,Households,11/1/2017,Maury,5168,10/25/2018
,Households,11/1/2017,McMinn,1303,10/25/2018
,Households,11/1/2017,Mcnairy,4167,10/25/2018
,Households,11/1/2017,Meigs,10906,10/25/2018
,Households,11/1/2017,Monroe,247,10/25/2018
,Households,11/1/2017,Montgomery,2144,10/25/2018
,Households,11/1/2017,Moore,4528,10/25/2018
,Households,11/1/2017,Morgan,2740,10/25/2018
,Households,11/1/2017,Obion,3097,10/25/2018
,Households,11/1/2017,Overton,1859,10/25/2018
,Households,11/1/2017,Perry,716,10/25/2018
,Households,11/1/2017,Pickett,415,10/25/2018
,Households,11/1/2017,Polk,1412,10/25/2018
,Households,11/1/2017,Putnam,5653,10/25/2018
,Households,11/1/2017,Rhea,3398,10/25/2018
,Households,11/1/2017,Roane,4146,10/25/2018
,Households,11/1/2017,Robertson,3844,10/25/2018
,Households,11/1/2017,Rutherford,12060,10/25/2018
,Households,11/1/2017,Scott,3356,10/25/2018
,Households,11/1/2017,Sequatchie,1568,10/25/2018
,Households,11/1/2017,Sevier,5458,10/25/2018
,Households,11/1/2017,Shelby,105434,10/25/2018
,Households,11/1/2017,Smith,1403,10/25/2018
,Households,11/1/2017,Stewart,946,10/25/2018
,Households,11/1/2017,Sullivan,12762,10/25/2018
,Households,11/1/2017,Sumner,7263,10/25/2018
,Households,11/1/2017,Tipton,4967,10/25/2018
,Households,11/1/2017,Trousdale,721,10/25/2018
,Households,11/1/2017,Unicoi,1606,10/25/2018
,Households,11/1/2017,Union,2060,10/25/2018
,Households,11/1/2017,VanBuren,481,10/25/2018
,Households,11/1/2017,Warren,3877,10/25/2018
,Households,11/1/2017,Washington,9360,10/25/2018
,Households,11/1/2017,Wayne,1249,10/25/2018
,Households,11/1/2017,Weakley,2955,10/25/2018
,Households,11/1/2017,White,2421,10/25/2018
,Households,11/1/2017,Williamson,2023,10/25/2018
,Households,11/1/2017,Wilson,4681,10/25/2018
,Households,12/1/2017,Anderson,6081,10/25/2018
,Households,12/1/2017,Bedford,4392,10/25/2018
,Households,12/1/2017,Benton,1537,10/25/2018
,Households,12/1/2017,Bledsoe,1468,10/25/2018
,Households,12/1/2017,Blount,7514,10/25/2018
