source link,Year,County,Value,LastReportedDate
,2017,Hamilton,0.25,1/30/2019
,2017,Hancock,0.21,1/30/2019
,2017,Hardeman,0.21,1/30/2019
,2017,Hardin,0.19,1/30/2019
,2017,Hawkins,0.19,1/30/2019
,2017,Haywood,0.19,1/30/2019
,2017,Henderson,0.19,1/30/2019
,2017,Henry,0.19,1/30/2019
,2017,Hickman,0.17,1/30/2019
,2017,Houston,0.18,1/30/2019
,2017,Humphreys,0.22,1/30/2019
,2017,Jackson,0.13,1/30/2019
,2017,Jefferson,0.25,1/30/2019
,2017,Johnson,0.15,1/30/2019
,2017,Knox,0.29,1/30/2019
,2017,Lake,0.23,1/30/2019
,2017,Lauderdale,0.18,1/30/2019
,2017,Lawrence,0.22,1/30/2019
,2017,Lewis,0.16,1/30/2019
,2017,Lincoln,0.13,1/30/2019
,2017,Loudon,0.18,1/30/2019
,2017,Macon,0.13,1/30/2019
,2017,Madison,0.13,1/30/2019
,2017,Marion,0.19,1/30/2019
,2017,Marshall,0.21,1/30/2019
,2017,Maury,0.16,1/30/2019
,2017,McMinn,0.2,1/30/2019
,2017,Mcnairy,0.18,1/30/2019
,2017,Meigs,0.2,1/30/2019
,2017,Monroe,0.14,1/30/2019
,2017,Montgomery,0.07,1/30/2019
,2017,Moore,0.22,1/30/2019
,2017,Morgan,0.23,1/30/2019
,2017,Obion,0.19,1/30/2019
,2017,Overton,0.29,1/30/2019
,2017,Perry,0.18,1/30/2019
,2017,Pickett,0.17,1/30/2019
,2017,Polk,0.23,1/30/2019
,2017,Putnam,0.21,1/30/2019
,2017,Rhea,0.15,1/30/2019
,2017,Roane,0.11,1/30/2019
,2017,Robertson,0.11,1/30/2019
,2017,Rutherford,0.26,1/30/2019
,2017,Scott,0.14,1/30/2019
,2017,Sequatchie,0.15,1/30/2019
,2017,Sevier,0.2,1/30/2019
,2017,Shelby,0.14,1/30/2019
,2017,Smith,0.19,1/30/2019
,2017,Stewart,0.16,1/30/2019
,2017,Sullivan,0.09,1/30/2019
,2017,Sumner,0.16,1/30/2019
,2017,Tennessee,0.16,1/30/2019
,2017,Tipton,0.14,1/30/2019
,2017,Trousdale,0.13,1/30/2019
,2017,Unicoi,0.2,1/30/2019
,2017,Union,0.21,1/30/2019
,2017,VanBuren,0.19,1/30/2019
,2017,Warren,0.21,1/30/2019
,2017,Washington,0.16,1/30/2019
,2017,Wayne,0.19,1/30/2019
,2017,Weakley,0.2,1/30/2019
,2017,White,0.17,1/30/2019
,2017,Williamson,0.04,1/30/2019
,2017,Wilson,0.09,1/30/2019
,,,,
